0.0	0.0	0.0	0	-2.2576721311333147e-05	8.03986577949118e-06	0.0015446040828726029	2.2576721311333147e-05	-8.03986577949118e-06	-0.0015446040828726029	0.007352596555714859	0.007718872889647108	-0.0066953387217099924	-0.006329062387777744
0.025	0.0006715465314197621	0.000799437406361847	0	-2.2576721311333147e-05	8.03986577949118e-06	0.0015446040828726029	0.0006941232527310952	0.0007913975405823558	-0.0015446040828726029	0.04099695277754054	0.005161002457928206	0.026419027214649227	-0.009416923104963134
0.041	0.001345771998284744	0.0015977451352641725	0	-1.9404813683621884e-05	8.752911593409806e-06	0.0016170857046788891	0.0013651768119683659	0.0015889922236707627	-0.0016170857046788891	0.07589970904566029	0.002569516628483045	0.060662574340938996	-0.012667618076238257
0.066	0.0020226744965167105	0.0023949164538254464	0	-1.9404813683621884e-05	8.752911593409806e-06	0.0016170857046788891	0.0020420793102003325	0.002386163542232037	-0.0016170857046788891	0.11060596528654487	-0.00019797296384500146	0.09534396041874547	-0.01545997783164444
0.083	0.002702252106996072	0.003190944632379178	0	-1.9404813683621884e-05	8.752911593409806e-06	0.0016170857046788891	0.002721656920679694	0.0031821917207857683	-0.0016170857046788891	0.14533902594065404	-0.0028858675055057903	0.13007702107285463	-0.018147872373305236
0.104	0.0033845028955673275	0.003985822944506168	0	-1.9404813683621884e-05	8.752911593409806e-06	0.0016170857046788891	0.0034039077092509495	0.003977070032912758	-0.0016170857046788891	0.18010780124960205	-0.00548372878532051	0.16484579638180266	-0.020745733653119956
0.123	0.004069424913044568	0.00477954466706576	0	-1.9404813683621884e-05	8.752911593409806e-06	0.0016170857046788891	0.00408882972672819	0.00477079175547235	-0.0016170857046788891	0.21491208692939698	-0.007991444757628238	0.1996500820615976	-0.023253449625427698
0.148	0.004757016195217042	0.005572103080227209	0	-5.805427171423081e-06	2.3149304931982664e-05	0.0016310657427456299	0.004762821622388466	0.005548953775295226	-0.0016310657427456299	0.2491805192671719	-0.010324905043318226	0.23379136811501705	-0.025714056195472935
0.163	0.005447274762854784	0.006363491467501314	0	-5.805427171423081e-06	2.3149304931982664e-05	0.0016310657427456299	0.005453080190026207	0.006340342162569332	-0.0016310657427456299	0.2840336864757075	-0.012648467099420812	0.26863973844100647	-0.028042415134121673
0.183	0.006140198621714315	0.007153703115771626	0	-5.805427171423081e-06	2.3149304931982664e-05	0.0016310657427456299	0.006146004048885738	0.007130553810839643	-0.0016310657427456299	0.31894330608241206	-0.01488459116020564	0.30354935804771105	-0.030278539194906473
0.203	0.006835785762544395	0.007942731315326412	0	-5.805427171423081e-06	2.3149304931982664e-05	0.0016310657427456299	0.006841591189715819	0.00791958201039443	-0.0016310657427456299	0.3538876149157456	-0.017030125571465087	0.3384936668810446	-0.03242407360616589
0.223	0.007534034161091845	0.008730569359889528	0	-5.805427171423081e-06	2.3149304931982664e-05	0.0016310657427456299	0.007539839588263268	0.008707420054957546	-0.0016310657427456299	0.38886640732365685	-0.019084960456229687	0.37347245928895584	-0.034478908490930466
0.244	0.008234941778107425	0.009517210546652333	0	9.051144566315218e-05	0.00012970671159028279	0.0015768914264731042	0.008144430332444273	0.00938750383506205	-0.0015768914264731042	0.41902993311987863	-0.021092882710000992	0.40412869211420477	-0.03599412371567497
0.26	0.008938506559351786	0.010302648176304663	0	9.051144566315218e-05	0.00012970671159028279	0.0015768914264731042	0.008847995113688634	0.01017294146471438	-0.0015768914264731042	0.4538940718096648	-0.022968694779964237	0.43901141929644966	-0.03785134729317946
0.282	0.009644726435601485	0.011086875553066533	0	9.051144566315218e-05	0.00012970671159028279	0.0015768914264731042	0.009554214989938333	0.01095716884147625	-0.0015768914264731042	0.48897498173224996	-0.024752676663107785	0.47409232921903477	-0.03963532917632301
0.302	0.010353599322655043	0.011869885984719608	0	9.051144566315218e-05	0.00012970671159028279	0.0015768914264731042	0.010263087876991891	0.011740179273129325	-0.0015768914264731042	0.5240895548604875	-0.0264455256911584	0.5092069023472722	-0.04132817820437362
0.322	0.011065123121339096	0.01265167278263829	0	9.051144566315218e-05	0.00012970671159028279	0.0015768914264731042	0.010974611675675944	0.012521966071048007	-0.0015768914264731042	0.5592375842036529	-0.028047134156772617	0.5443549316904376	-0.04292978666998784
0.342	0.011779295717514593	0.013432229261821527	0	0.0003403115232972513	0.00042459607927271585	0.0017432820050231617	0.011438984194217343	0.01300763318254881	-0.0017432820050231617	0.5828261136908914	-0.027701972431985786	0.5664301645962653	-0.04409792152661212
0.362	0.012496114982083039	0.014211548740923674	0	0.0003403115232972513	0.00042459607927271585	0.0017432820050231617	0.012155803458785787	0.013786952661650958	-0.0017432820050231617	0.6176030742683191	-0.029048603775957457	0.6011500326208488	-0.04550164542342793
0.382	0.013215578770992858	0.014989624542286195	0	0.0003403115232972513	0.00042459607927271585	0.0017432820050231617	0.012875267247695606	0.014565028463013479	-0.0017432820050231617	0.6528504480067603	-0.030369983879918225	0.63639740635929	-0.0468230255273887
0.403	0.01393768492524574	0.015766449991969134	0	0.0003403115232972513	0.00042459607927271585	0.0017432820050231617	0.013597373401948488	0.015341853912696417	-0.0017432820050231617	0.6881304320904	-0.03159969154998886	0.6716773904429297	-0.04805273319745939
0.423	0.014662431270903123	0.01654201841978198	0	0.0003403115232972513	0.00042459607927271585	0.0017432820050231617	0.01432211974760587	0.016117422340509262	-0.0017432820050231617	0.72344281818847	-0.032737621309039386	0.7069897765409997	-0.04919066295650986
